F41G3.12	G5EG68
F53E10.1	P91321
ZC518.2	Q23368
K07B1.1	O01887
B0361.6	Q10950
AC3.10	Q5FC64
B0495.2	Q09437
ZC504.3	Q23357
H01G02.2	O17903
ZK430.3	Q27538
M60.5	Q9GYM8
F44A6.2	P41830
C47B2.8	O62103
Y38C1AA.11	Q8MXT1
R07E5.2	Q21824
Y57A10A.29	Q9NA72
W02G9.2	G5ED84
Y54E5B.4	Q9XWF6
K07A1.15	Q7YWY5
ZK697.8	O44578
JC8.2	Q9NAQ2
F55F8.5	P91343
T22C8.3	Q22676
ZK1053.5	G5EEQ3
Y50E8A.9	Q9NAE9
K08D10.7	Q21319
C04E12.7	G5EG07
F46A8.10	Q9XV36
K08D10.8	Q21318
F11A6.2	O62149
Y55B1BR.4	Q95XW5
C50F2.8	P91182
C01B7.4	Q17549
F12A10.7	P50438
Y39A3B.7	G4SNQ9
R13D11.10	Q965M0
F54B11.7	Q20742
T10F2.5	G4SNB8
C48B6.10	Q95ZM3
F17A9.2	O16216
F52B11.3	Q9XUE5
F41A4.1	O61834
F20D1.8	Q93532
F52C9.5	Q10125
W04C9.3	Q9TZE2
F38E11.4	Q20167
F47G9.3	G5EBR9
C01G12.1	O45233
T07C12.11	G5EGG9
H20J04.3	Q9N5M0
T23D8.2	Q9XVI4
T19E7.1	Q22591
F52E1.2	Q20665
K02F3.5	Q21146
Y38H6C.8	Q9XX56
F40F9.9	G5EEK0
C35A5.1	Q18469
M02F4.8	Q21473
ZK783.4	Q23590
Y51A2D.5	Q9XXQ9
M01F1.5	Q21455
Y51A2D.4	Q9XXR3
F55F10.1	O61851
B0041.7	Q9U7E0
B0024.15	Q8MQG4
ZK678.8	G5EDB3
Y54E10A.14	Q9N3E5
R11F4.1	Q21944
B0511.13	Q95X35
H38K22.1	G5EC05
M18.2	Q21557
C50C3.6	P34369
K01C8.10	P47208
F40F11.1	Q20206
F55H2.2	P34462
H10D18.5	Q9N5N2
C01C4.2	Q11089
M01G5.5	O76689
Y54E10BR.7	Q9N3C7
T25B6.7	O45813
W03G9.1	O44752
ZK1010.9	G5EE39
F55H12.1	P90890
C49C3.1	Q9XUG5
ZK829.10	O18300
Y46G5A.30	G5EBM5
Y32F6A.2	O45915
F10E7.4	Q19305
B0495.7	Q09216
C44B7.11	Q18600
F27C1.11	E5QCF1
C52B9.9	O45873
F28F8.2	O18693
F47G6.2	Q9TZI7
T20F7.7	O02171
F47G6.1	Q9Y048
M116.5	Q965L0
W07E6.1	Q9TYV5
F12A10.4	Q09946
F26G1.6	Q19831
K02F6.9	O16636
F22A3.5	Q45EK2
T19B4.7	G5EF96
K03D10.1	G5EDX1
T12D8.10	Q69ZI6
Y105E8A.11	Q9NEY7
K11H12.1	P91375
F56B3.5	O45106
Y71H2AM.9	Q3V5J4
DH11.1	Q19013
F30F8.2	Q93650
B0545.3	O76663
C39E9.5	Q18539
ZK384.2	O62508
Y51H7C.2	Q9N3I3
C39E9.4	Q18538
H10D18.2	Q9N5N3
F09E8.5	Q93444
F49E11.4	Q93747
F49E11.5	Q20609
Y43F8B.5	Q9XWX3
F49E11.9	Q20608
F02E11.5	O16575
C39E9.2	Q18543
C39E9.6	Q18540
F49E11.11	G5EF50
F49E11.6	Q93746
H10D18.4	Q9N5N4
ZK6.3	O61870
F08E10.7	Q9XXP4
C50E3.10	Q22930
T19C9.5	O45790
Y48B6A.11	Q9U297
F46B6.12	Q9BI88
Y110A7A.19	Q9N584
Y108F1.3	Q8MXK5
C18B12.2	G5EBF7
T22C1.6	Q22666
Y49A3A.1	G5EC25
F54D7.2	O44732
Y71H2AM.23	G5ECM6
C43E11.4	G5EDF5
Y77E11A.2	Q9N4A9
F13D12.2	Q27888
Y71F9B.6	Q9N4H0
C50F2.3	P91175
W07G4.4	Q27245
ZK353.6	P34629
B0432.7	P90988
F35F11.1	Q9N5U5
R05D11.8	Q21740
K08E3.6	Q9XUS9
Y53G8AR.5	Q9N3F9
B0432.2	P90994
C49G7.11	O16228
E02H1.8	Q7YX52
Y113G7A.11	Q9U2Z2
F54D11.4	J3K004
EEED8.5	Q09530
K03H1.2	P34498
C04H5.6	O45244
Y71F9B.3	Q9N4G8
T03F6.6	Q8WQD3
F56B3.6	O45108
Y110A2AR.1	Q9N488
Y5F2A.4	Q9XWL0
F35A5.1	Q20007
H03A11.2	G5EFE3
T08G11.3	Q94012
T20G5.6	P34579
D2013.5	Q18965
C56E6.6	Q18902
K07A12.2	P90920
C44H4.3	G5EFP4
T01G9.3	Q22075
C44H4.2	Q93373
F16B3.1	O44164
R12H7.2	Q21966
F59D6.2	O16339
H22K11.1	P55956
F21F8.3	O01532
F21F8.4	O01531
Y39B6A.24	Q8MYN5
ZK384.3	Q7JKL9
C11D2.2	O45072
F21F8.7	O01530
Y39B6A.20	G5EEI4
Y39B6A.23	Q8MYN6
Y39B6A.22	Q8MYN7
F28A12.4	Q22972
ZK384.6	G5EC01
F59D6.3	O16338
K10C2.3	Q94271
C28G1.4	Q18289
C09F5.3	Q09452
T20G5.10	Q22616
Y6B3B.1	G5ECZ7
F33A8.4	O62214
R13A5.9	Q95Y88
Y16B4A.1	Q93705
R144.11	Q95QB7
R144.12	Q629J5
T22D2.1	G5EDN8
F09E5.1	Q19266
D1037.1	Q9TYS1
C09H10.3	Q17880
F41E7.5	Q20277
C08F8.8	Q9XVV3
F44G3.9	O45521
R02C2.4	O44543
R144.1	G5EFQ4
C48E7.8	Q8IG66
C15F1.4	P80361
D2085.3	Q18994
ZK856.9	Q23644
F31D4.6	O45421
ZC64.4	G5EEA1
Y80D3A.3	Q9U1R1
K12C11.4	O44997
R05D11.5	Q21737
C35D10.1	Q8WQG1
T21B6.1	Q22629
F56C3.6	O61756
F07G6.1	Q19173
C52A10.2	Q95YC3
B0238.1	O16497
F15A8.6	O02147
B0238.13	O16496
T28C12.5	O16694
F13H6.4	O16352
Y71H2AM.13	Q9BL43
F13H6.3	Q07085
K11G9.3	Q23008
K11G9.1	Q23010
K11G9.2	Q23009
C52A10.1	Q95YC4
K07C11.4	Q21266
R12A1.4	Q04457
B0238.7	O16490
Y48B6A.7	G5EDN1
W09B12.1	P38433
Y44E3A.2	G5EDV9
Y48B6A.8	Q9U295
F55D10.3	Q20826
T01C8.5	Q22067
C14E2.2	Q17983
T01C8.4	Q22066
C44E4.3	O01804
R02D5.8	A8WHS8
Y53G8AR.8	Q9N3G1
C44H4.1	Q93377
Y71F9B.8	G5EGE7
ZK682.5	Q23580
Y41D4A.5	Q95Y26
F20H11.4	O01736
Y22D7AR.7	Q9BKX7
M05B5.1	Q21514
Y54F10BM.3	Q95XL1
Y48G1C.5	Q9BL78
B0207.1	O01435
Y71F9AL.4	Q9N4H5
ZK354.8	P91568
C40A11.5	Q9TZB1
T28F4.3	Q22852
T27A3.5	P91498
F35C11.2	Q20019
M05D6.3	Q21522
T20B6.1	O02048
F36H1.3	Q20108
F55H2.6	P34466
ZK909.4	Q94126
F17A9.3	O16213
K08F8.2	Q21361
C31E10.6	Q93314
C31E10.5	Q93309
F59B2.12	P34487
F43G9.1	Q93714
C30F12.7	Q95YD8
C26D10.1	Q18211
F57B10.7	G5EC40
F15A2.2	G5EDP3
C23H3.7	G5EG96
Y48B6A.12	Q9U296
C06H2.1	Q17763
F36A2.6	Q9XVP0
Y56A3A.36	Q56VX7
Y71H10A.2	Q9TZL9
Y43C5A.2	Q9XXE9
M01A10.1	P91393
C45G7.2	O76358
C45G7.3	O76357
C45G7.1	O76359
C55F2.2	Q9GYQ2
W03D2.7	O02119
F53A9.5	Q20686
C09F12.3	G5EE93
W10C4.1	Q9N5A3
T10E10.3	Q22377
F59B2.13	P34488
D1014.2	Q18923
K03H6.1	O45173
F40A3.7	O16268
R10E11.2	P34546
R10E11.8	Q21898
Y38F2AL.4	P34546
Y51F10.11	Q4W5H0
C04F12.10	Q9XVE5
F25B3.1	G5ECW3
F13E6.6	G5EFE1
ZC8.3	Q23084
C41D11.7	O01976
T03G11.3	Q22122
C11D9.1	O01847
T06E4.10	Q22264
Y47D3B.6	Q9U2B8
T06E4.12	Q5FC67
T06E4.8	Q22262
T06E4.9	Q22263
T06E4.14	B2D6L8
F53G2.6	O17244
T16G12.6	Q22529
C47B2.2	Q9U3L5
B0001.4	Q17413
T23G11.3	Q17339
K07H8.9	O45180
Y57G11C.36	Q8I4C4
Y69A2AR.6	Q95XH1
C18H2.2	Q18103
Y40H7A.10	Q9XWA4
Y113G7B.15	Q9U2X1
M04G12.2	P92005
R09F10.1	Q23030
C50F4.3	Q18740
Y51A2D.8	Q9XXQ7
F15D4.4	Q93512
F32B5.8	G5EGP8
F41E6.6	O16454
R05G6.10	Q21758
K07G5.3	Q21303
T06A10.4	A3QMD7
Y51H1A.4	Q9XWJ8
K12H4.8	P34529
K09H11.3	O01585
ZK1127.13	E1B6Q6
ZK455.3	Q23497
T23C6.5	O02043
T23D8.4	O02328
T09A5.7	P45967
C26C6.8	Q18204
C14F5.5	P29355
C46C11.3	Q966P3
ZK1058.5	Q23383
Y53F4B.42	Q2MDF2
C44B9.1	Q18602
Y106G6H.5	Q9U300
F08F1.5	O17386
Y48G8AR.1	G5EDF0
F55F8.4	G5EBE3
F38E11.12	Q7Z205
ZK945.7	Q09383
F14F9.2	Q9GUC5
R53.2	Q22018
C06B3.8	Q6DNF7
C46E1.2	Q6DNF4
C54E4.3	Q6DNF3
M04G12.3	P92006
W03F11.2	O01779
ZC239.7	P91550
T20B3.13	Q9U363
C03E10.5	O17562
T26C5.1	Q22814
Y45G12C.2	Q9N4X8
F11G11.1	P91254
F11G11.2	P91253
Y71F9AL.5	Q9N4H6
Y53G8B.1	Q9N4S0
Y32G9A.1	Q9BPM4
F13A7.10	O45352
C02D5.4	D7SFI3
C02D5.3	P34277
F13E6.1	P55326
W07E6.2	Q9TYV3
F32A5.6	Q19951
Y43F8C.8	Q9XWP0
F56F10.3	Q20893
M7.5	G5EBK4
C44F1.3	Q18625
ZK1248.16	G5EFI4
C53D6.7	Q18813
C27C7.5	Q9XVD0
Y55B1AR.1	Q9N384
F58H12.1	Q21017
F49C5.4	O17879
F59F3.1	Q21038
M01B2.1	O17955
F59F3.5	Q21041
Y53F4B.2	Q9NAC6
F42G9.7	K8FE10
Y39B6A.7	Q9NET4
Y51H4A.8	Q9NAE1
Y7A9D.1	O18259
F52C6.3	O44820
K10G9.1	G5EEK1
C38C10.2	Q03567
ZK512.6	P34644
T07A5.3	Q10046
Y19D10A.8	Q7Z2C3
T11G6.4	Q22406
F21F8.11	O01537
C35A5.3	Q18472
T22F3.10	Q94306
T19D12.10	O76838
C18D1.2	Q09479
F56A4.10	O44595
T09B9.2	Q10048
W04C9.6	Q9TZE1
T28H11.8	Q23063
F56A4.12	Q9N5Q8
K11G9.5	Q23012
C18H9.5	Q09484
F44E7.7	O16252
Y19D10A.5	G5EDB5
C01B4.7	G5EDZ6
K08C7.1	Q21312
F56A4.11	Q9N5Q9
C02C2.4	P34272
F11A5.9	O17785
M117.1	Q21538
R10D12.1	Q9XVK0
F41C3.2	Q20265
T19D12.9	O76837
Y15E3A.4	Q9U2R3
T22F3.7	Q94304
C39E9.7	Q18544
T22F3.8	Q94305
H11E01.2	O61803
F59A1.13	G5EF35
Y19D10A.11	Q966D7
T01H3.3	Q22089
ZK682.2	Q23576
C01B4.8	G5EDB5
F10C2.7	P90832
M162.5	Q9U3A4
Y19D10A.10	Q966D8
Y19D10A.4	G5EDZ6
T02B11.6	O16976
R12E2.1	O61795
Y18D10A.13	Q9XW10
W01A11.1	Q23068
C45B11.6	A4UVK7
K02F3.6	G5EBI4
R05H10.5	O62327
F26E4.12	O02621
F55A3.5	Q9N5S2
C45B11.2	Q18638
F35H10.4	G5EEK9
VW02B12L.1	G5EGP4
C32D5.11	Q18355
C32D5.10	Q09268
Y105E8B.9	Q95Q32
Y97E10AL.2	Q965S2
ZC404.9	Q23290
R05H10.7	Q7YTM1
R05H10.1	O62324
T10B5.4	O76405
W02D7.5	O17526
M7.12	Q21596
M7.8	Q21589
W02D7.4	O17525
R13D11.4	F0IWS9
R04B3.2	Q21697
Y52B11A.4	Q9U254
Y71F9AR.2	A4UZ34
C44B9.2	Q18603
T05H4.4	O16522
F58B4.2	Q20976
Y71H2AM.3	Q2AAC0
C38D4.8	Q18510
B0272.1	P41937
C54C6.2	Q18817
ZK154.3	P12456
C36E8.5	P52275
K01G5.7	O17921
T24F1.2	Q22747
F14H3.12	O45370
F53F4.3	Q20728
E04F6.2	Q19060
F58B4.5	Q20974
H37A05.2	Q9U3D0
E02C12.9	Q19033
C18B10.6	P91071
F56A4.5	Q9N5R6
E02C12.10	Q19034
E02C12.6	Q19030
Y45G12C.4	Q9N4Y2
F59B1.10	Q8IA57
T16G1.6	Q9XUP2
C07F11.1	Q9N5Z3
F40F9.8	Q20238
B0563.7	Q11083
R08D7.5	P30644
C50C3.5	P34368
Y69H2.6	Q9U1U4
Y39D8C.1	Q9TXV8
F56F4.6	O01842
Y53C10A.9	Q9XW49
F12B6.1	Q1RS86
T26A5.1	Q22802
C10C6.5	P90746
F02E11.1	O16574
F19B6.4	Q19585
C05D10.3	Q11180
Y47D3A.11	Q9U2D0
C16C10.12	Q09466
C15C6.3	Q9XVT2
F32D8.6	Q19967
H22K11.3	O76631
R03A10.1	Q21655
C02F12.10	A3FPJ2
C13G5.1	P34326
C16C2.1	P20269
R06F6.6	Q09602
Y119D3B.17	Q95Y67
T23G7.3	Q22705
F25B4.9	Q22966
C17E4.3	Q93227
F58E6.12	B2D6L6
C53D5.2	Q9N5V7
Y57A10B.1	Q9XWI0
C55C3.3	Q18866
C30H6.6	O45278
K09E9.1	Q93877
C44C10.3	Q18613
Y57G11C.23	O18247
Y66D12A.13	Q9BI47
T01B11.7	G5EDU0
F32H5.4	P91993
C46C2.2	Q18655
C53B4.1	Q18795
ZK892.3	Q09617
B0361.11	Q7Z118
F23F12.3	P46499
T08B1.1	O44557
T22F7.1	Q22686
T12B3.2	Q9UAW9
F14B8.3	Q19442
F23F12.13	Q4PIX1
Y51A2D.18	Q9XXQ4
K11D9.3	G5EEI9
C27C12.7	Q18253
C28A5.4	Q18273
F31E8.3	Q19937
Y65B4BR.9	P56407
M6.3	Q21578
C33H5.8	Q18405
F40F8.3	Q20231
Y47H9C.2	Q9XWD7
Y39E4B.7	Q9U2K0
C48E7.5	G5EBT7
F11C3.2	G5EGP1
C30H6.2	Q9XVR4
F13A2.8	O16890
T04F3.2	Q22157
Y51H4A.3	Q22038
R11G1.3	Q21945
K08F4.11	O16116
F37B1.8	Q93701
F37B1.6	Q93699
R05F9.5	Q21743
C02A12.1	O16198
Y1H11.1	Q86S58
F37B1.7	Q93700
F37B1.5	Q93698
ZK546.11	Q23520
Y48E1B.10	G5EC71
F21H7.1	O45387
F11G11.3	P91252
F37B1.1	Q93694
K08F4.6	O16115
F56B3.10	O45115
F35E8.8	O45451
Y53F4B.37	Q9NA96
R07B1.4	Q09607
Y53F4B.35	Q9NAA9
C49F5.1	O17680
R07B1.3	Q09606
F07A5.3	Q19140
Y49E10.20	Q9XTT3
Y76A2B.6	G5EBM7
Y75B8A.22	G5EDN3
C34H3.2	Q9N5X6
B0280.4	P41995
C27C12.2	Q18250
F45B8.4	G5EDE1
Y38H8A.5	O62425
F15D3.6	O62173
F55F3.3	Q9XUY5
C17E4.9	Q93235
C43F9.6	Q9XUG9
Y49A3A.2	Q9XW92
F59H6.7	Q7Z134
F55A11.2	Q20797
T08D2.7	A4F324
Y60A3A.12	Q9U1Y5
K07A9.2	Q9TXJ0
R06A10.4	O44747
R12A1.2	O16700
Y75B7AL.3	Q965S5
Y73F8A.19	Q9NA53
W04B5.5	Q9UA62
C27B7.4	Q18241
F45H11.2	Q93725
ZK1010.1	P49632
C40H1.1	Q03571
C30B5.3	Q18317
F56D1.7	Q20870
E03H4.12	O17751
T09E11.1	O02304
W07G9.2	G4SN66
C54C8.5	O17708
ZK1307.5	Q09363
C47F8.4	O62113
T15D6.7	Q9XU73
R119.6	O61707
B0310.2	Q10938
B0205.7	P18334
K03E5.3	O61847
C07H6.7	P34684
C08C3.3	P10038
K02B12.1	P20268
Y75B8A.1	Q9XW88
C44B11.3	P91910
F16D3.1	Q19490
F40F4.5	Q20221
F44F4.11	G5EDD4
C47B2.3	P34690
ZK899.4	P52274
F32H2.9	P91873
T28D6.2	O18154
K07C11.5	Q21265
K07C11.3	Q21267
C31C9.2	O17626
F54A3.3	Q9N4J8
F55B12.1	Q9NLC2
K08D9.3	P41990
F16B12.2	Q93519
Y69A2AR.4	Q95XG8
K11G12.3	Q21433
T05C12.7	P41988
C43G2.1	Q94177
Y32H12A.5	Q9N536
T05D4.1	P54216
F28B12.3	Q19848
D2045.5	Q18984
F59E12.3	O01899
R10E9.1	G5EFS2
Y111B2A.1	Q9BHM0
Y119C1B.5	Q95Y82
F55A11.3	Q20798
C14H10.1	Q17996
H13N06.5	Q9XTQ7
T28F3.3	Q9XUC4
C37A5.9	O62090
F31E3.5	P53013
B0464.4	Q03562
Y18D10A.5	Q9U2Q9
C44H4.6	Q93372
Y106G6D.4	Q9XX60
C36B1.10	Q93344
R03D7.5	Q09595
F21F3.2	P91267
C34G6.5	O01493
Y106G6E.1	G5EFV1
ZK328.4	Q23462
M01G5.3	O76687
C44C8.6	Q965G5
C53B4.6	Q18800
T23D8.1	G5EEF7
F37B12.2	Q20117
F32D1.5	O16294
K01G5.4	O17915
F11A5.4	O17789
F52A8.2	Q20636
C03C11.2	G5EDX7
T09B4.6	O02156
F59A3.1	P91359
F01D4.4	O17754
T27A8.1	Q22825
W01A8.6	G5EC13
W03F8.1	O44572
T20B3.2	Q9XUN9
ZK721.2	Q9GYF1
F42E11.4	Q20334
C27A12.8	O01965
C27A12.6	O01963
C17H11.4	P91065
T12E12.1	Q22431
B0303.9	P34260
C56C10.1	Q18891
C17H12.1	O45087
B0513.5	O45228
D2005.1	Q93412
T20H4.4	Q22618
H03A11.1	Q9XTW2
D1005.2	Q18910
T13H5.6	Q9U369
F39B2.8	O45500
C55B7.5	Q966M4
H37A05.1	Q9XXT5
ZK370.5	Q02332
F57B9.2	Q20937
Y43F4B.7	O45936
H32K16.1	O62286
F59B2.2	P34479
Y38H6C.17	Q9XX44
F31D4.9	Q9U3H4
C05C12.3	G5ECM4
F54D1.5	Q20766
W03A5.7	Q9TY07
F54F2.9	P34454
C25E10.10	Q18159
F36H9.4	O16620
F53C11.9	Q0G820
B0238.12	O16488
ZK652.3	P34661
H04M03.1	Q9TYQ8
T24H7.1	P50093
Y37E3.9	Q9BKU4
Y77E11A.10	Q9N4B2
Y47H10A.1	Q9U2B2
Y17G7B.13	Q9XXI1
D1007.7	O01864
F20D6.8	P90840
W04C9.5	Q9TZE3
Y105E8A.7a	G5EDX3
Y40H7A.11	Q9XW97
F36G3.3	Q7YX40
Y37D8A.8	Q9XWU7
C08E8.1	O62039
Y37D8A.26	Q7YTJ4
B0348.2	O61958
Y87G2A.19	Q56VY4
Y22D7AL.15	Q965P1
B0348.1	O61959
Y87G2A.18	Q7YXD6
F16F9.1	Q94184
T19C3.4	Q10010
F28A12.1	Q22970
F02D10.5	G5EGI5
C24G7.2	P91102
C25F6.4	Q18163
T10H9.2	O76411
T20B3.7	Q9XUP0
C14E2.4	Q17985
Y43F8B.19	B1V8J1
Y47D3B.10	Q10576
F35G2.4	Q20065
R186.5	G5EEK7
R07A4.1	G5EFC3
F44A2.2	Q20381
C37E2.3	Q93355
T08H4.3	Q22355
F32D1.3	O16296
F45H7.6	G5EEJ0
Y41C4A.14	G5EC44
F45G2.6	G5EG80
Y110A7A.2	Q9N586
K08E3.8	Q9XUS2
Y71A12B.4	Q9GRV5
F40G9.17	C0Z1Y9
T28D6.4	O18152
C29E6.2	Q18297
ZC15.7	G5EBJ4
F53F10.1	O01580
T07C4.10	G5EBL8
K09C8.1	G5EBK1
T23H4.2	P91829
E02H1.7	Q09528
R08D7.2	P30641
F35H12.1	Q20079
F08B1.2	Q19187
F23H12.6	Q19768
R134.2	Q10029
C17F4.6	O16544
F21H7.9	O62179
R134.1	Q10028
ZC412.2	Q23310
ZK970.5	Q23681
ZK970.6	Q23682
AH6.1	Q09435
F22E5.3	O16715
C30G4.3	Q18331
DY3.7	G5EFD9
F49D11.8	O44727
T09B4.8	O02158
H06A10.1	Q9XTR0
F59F5.7	G5ED92
M03A1.8	A9Z1K9
T28F2.2	O01659
T25D3.2	O76606
ZC581.9	O01776
Y57A10A.19	Q9U213
ZK632.7	P34653
F26H9.2	P91855
ZK121.2	Q9N4P3
Y53C10A.10	Q9XW47
F15C11.1	G5EFF4
F58B6.2	Q9TYU9
Y48G9A.4	Q9BL72
F56E10.2	D6VPA1
C34E11.1	Q18453
T16G1.9	Q9U367
K03E5.1	O61849
F32B5.1	O01854
W10C8.5	O45011
ZC434.8	Q27535
F44G3.2	O45518
F11G11.13	P91251
K04F1.1	Q9TXL6
Y32H12A.4	Q9N537
R11A5.2	O45717
T07D1.4	Q10572
ZC404.8	G5EF02
F56H11.4	G5EEE5
F41H10.8	Q20303
F41H10.7	Q20300
C40H1.4	Q03574
Y45F3A.1	G5EEK4
C07G1.1	Q17800
ZK470.1	Q23508
C38H2.2	Q18515
C17A2.3	O16535
T09E11.12	A0T4F5
Y38C1AB.1	G5ECT3
E03H4.3	O17747
F56H6.1	O45579
T22B11.2	O44563
C16D9.6	Q22900
C02H6.1	O17053
Y38C1AB.5	G5ECT3
F37A4.3	P41881
T01C2.1	Q966F9
C44F1.5	G5EE33
C10F3.3	O16880
